recall,precision
0.0122715,0.382812
0.0125219,0.387597
0.0127724,0.392308
0.0127724,0.389313
0.0130228,0.393939
0.0130228,0.390977
0.0130228,0.38806
0.0132732,0.392593
0.0135237,0.397059
0.0137741,0.40146
0.0137741,0.398551
0.0140245,0.402878
0.014275,0.407143
0.014275,0.404255
0.0145254,0.408451
0.0147759,0.412587
0.0147759,0.409722
0.0150263,0.413793
0.0150263,0.410959
0.0152767,0.414966
0.0152767,0.412162
0.0152767,0.409396
0.0155272,0.413333
0.0155272,0.410596
0.0157776,0.414474
0.0157776,0.411765
0.0157776,0.409091
0.0157776,0.406452
0.0157776,0.403846
0.0157776,0.401274
0.0157776,0.398734
0.0157776,0.396226
0.0157776,0.39375
0.0157776,0.391304
0.016028,0.395062
0.016028,0.392638
0.016028,0.390244
0.016028,0.387879
0.016028,0.385542
0.016028,0.383234
0.0162785,0.386905
0.0162785,0.384615
0.0162785,0.382353
0.0162785,0.380117
0.0162785,0.377907
0.0162785,0.375723
0.0165289,0.37931
0.0165289,0.377143
0.0167794,0.380682
0.0167794,0.378531
0.0170298,0.382022
0.0172802,0.385475
0.0172802,0.383333
0.0172802,0.381215
0.0172802,0.379121
0.0175307,0.382514
0.0175307,0.380435
0.0175307,0.378378
0.0177811,0.38172
0.0180316,0.385027
0.0180316,0.382979
0.0180316,0.380952
0.018282,0.384211
0.018282,0.382199
0.018282,0.380208
0.0185324,0.38342
0.0185324,0.381443
0.0187829,0.384615
0.0187829,0.382653
0.0187829,0.380711
0.0187829,0.378788
0.0187829,0.376884
0.0187829,0.375
0.0187829,0.373134
0.0190333,0.376238
0.0190333,0.374384
0.0192837,0.377451
0.0192837,0.37561
0.0195342,0.378641
0.0197846,0.381643
0.0200351,0.384615
0.0200351,0.382775
0.0200351,0.380952
0.0200351,0.379147
0.0200351,0.377358
0.0202855,0.380282
0.0202855,0.378505
0.0202855,0.376744
0.0202855,0.375
0.0205359,0.37788
0.0205359,0.376147
0.0207864,0.378995
0.0207864,0.377273
0.0210368,0.380091
0.0212873,0.382883
0.0215377,0.38565
0.0215377,0.383929
0.0215377,0.382222
0.0217881,0.384956
0.0220386,0.387665
0.0220386,0.385965
0.022289,0.388646
0.022289,0.386957
0.022289,0.385281
0.0225394,0.387931
0.0225394,0.386266
0.0227899,0.388889
0.0227899,0.387234
0.0227899,0.385593
0.0227899,0.383966
0.0227899,0.382353
0.0227899,0.380753
0.0227899,0.379167
0.0227899,0.377593
0.0227899,0.376033
0.0227899,0.374486
0.0227899,0.372951
0.0227899,0.371429
0.0227899,0.369919
0.0227899,0.368421
0.0227899,0.366935
0.0227899,0.365462
0.0227899,0.364
0.0227899,0.36255
0.0227899,0.361111
0.0227899,0.359684
0.0227899,0.358268
0.0230403,0.360784
0.0232908,0.363281
0.0235412,0.365759
0.0235412,0.364341
0.0235412,0.362934
0.0235412,0.361538
0.0237916,0.363985
0.0237916,0.362595
0.0237916,0.361217
0.0237916,0.359848
0.0237916,0.358491
0.0237916,0.357143
0.0240421,0.359551
0.0240421,0.358209
0.0240421,0.356877
0.0240421,0.355556
0.0240421,0.354244
0.0240421,0.352941
0.0240421,0.351648
0.0240421,0.350365
0.0240421,0.349091
0.0240421,0.347826
0.0240421,0.34657
0.0240421,0.345324
0.0242925,0.34767
0.0242925,0.346429
0.0242925,0.345196
0.0242925,0.343972
0.0242925,0.342756
0.0242925,0.341549
0.0242925,0.340351
0.024543,0.342657
0.024543,0.341463
0.024543,0.340278
0.024543,0.3391
0.024543,0.337931
0.024543,0.33677
0.024543,0.335616
0.024543,0.334471
0.0247934,0.336735
0.0247934,0.335593
0.0247934,0.334459
0.0250438,0.3367
0.0250438,0.33557
0.0252943,0.337793
0.0252943,0.336667
0.0255447,0.33887
0.0255447,0.337748
0.0257951,0.339934
0.0257951,0.338816
0.0257951,0.337705
0.0257951,0.336601
0.0257951,0.335505
0.0257951,0.334416
0.0257951,0.333333
0.0257951,0.332258
0.0257951,0.33119
0.0257951,0.330128
0.0257951,0.329073
0.0260456,0.33121
0.026296,0.333333
0.026296,0.332278
0.026296,0.33123
0.0265465,0.333333
0.0265465,0.332288
